Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Category,Product,Brand,Quantity,MRP,Discount_Percent,Sale_Rate,Sales_Amount,Cost,Profit,Payment_Method,Salesperson,Order_Status
ORD100028,2025-12-06 00:00:00,CUST1010,Rohan Joshi,Jaipur,Rajasthan,Beverages,Coffee,Tata,7,60,0,60,420,324.66,95.34,Net Banking,Pooja,Completed
ORD100029,2025-09-07 00:00:00,CUST1152,Kavya Patel,Nashik,Maharashtra,Home Care,Floor Cleaner,Patanjali,5,60,15,51,0,221.55,0,UPI,Amit,Cancelled
ORD100030,2025-04-12 00:00:00,CUST1095,Sneha Patel,Pune,Maharashtra,Home Care,Glass Cleaner,HUL,1,30,2,29.4,29.4,21.21,8.19,Cash,Neha,Completed
ORD100031,2025-06-14 00:00:00,CUST1217,Rahul Mehta,Ahmedabad,Gujarat,Personal Care,Hair Oil,Dabur,3,200,15,170,510,358.86,151.14,UPI,Vikas,Completed
ORD100032,2025-11-10 00:00:00,CUST1037,Kavya Sharma,Surat,Gujarat,Grocery,Cooking Oil,ITC,2,30,15,25.5,0,40.6,0,Debit Card,Amit,Cancelled
ORD100033,2025-11-19 00:00:00,CUST1076,Neha Agrawal,Jabalpur,Madhya Pradesh,Grocery,Basmati Rice,ITC,1,100,10,90,90,77.32,12.68,Net Banking,Pooja,Completed
ORD100034,2025-08-29 00:00:00,CUST1144,Neha Agrawal,Pune,Maharashtra,Snacks,Dry Fruits,HUL,4,200,8,184,736,599.48,136.52,Cash,Neha,Completed
ORD100035,2025-06-13 00:00:00,CUST1253,Rohan Agrawal,Kota,Rajasthan,Personal Care,Hair Oil,HUL,7,300,5,285,1995,1403.29,591.71,UPI,Neha,Completed
ORD100036,2026-02-15 00:00:00,CUST1145,Meera Agrawal,Pune,Maharashtra,Personal Care,Shampoo,Tata,5,80,12,70.4,352,308.8,43.2,Net Banking,Pooja,Completed
ORD100037,2025-09-20 00:00:00,CUST1141,Vivaan Jain,Mumbai,Maharashtra,Home Care,Glass Cleaner,Parle,7,300,2,294,2058,1772.47,285.53,Debit Card,Vikas,Completed
ORD100038,2025-07-26 00:00:00,CUST1134,Priya Joshi,Surat,Gujarat,Grocery,Cooking Oil,Nestle,7,500,0,500,3500,2438.03,1061.97,Cash,Vikas,Completed
ORD100039,2025-08-21 00:00:00,CUST1001,Rahul Singh,Jaipur,Rajasthan,Beverages,Fruit Juice,HUL,4,200,2,196,784,559.2,224.8,UPI,Amit,Completed
ORD100040,2025-10-03 00:00:00,CUST1178,Kavya Joshi,Kota,Rajasthan,Baby Care,Diapers,P&G,4,80,2,78.4,313.6,225.04,88.56,Net Banking,Rohan,Completed
ORD100041,2025-06-21 00:00:00,CUST1256,Rahul Mehta,Ahmedabad,Gujarat,Grocery,Basmati Rice,Tata,4,500,10,450,1800,1271.96,528.04,UPI,Sneha,Completed
ORD100042,2025-06-02 00:00:00,CUST1217,Rohan Sharma,Jaipur,Rajasthan,Snacks,Biscuits,Parle,1,40,15,34,34,24.14,9.86,Credit Card,Neha,Completed
ORD100043,2025-05-23 00:00:00,CUST1165,Priya Jain,Indore,Madhya Pradesh,Snacks,Cookies,Patanjali,5,80,12,70.4,352,303.65,48.35,UPI,Vikas,Completed
ORD100044,2025-07-04 00:00:00,CUST1072,Amit Jain,Nashik,Maharashtra,Grocery,Cooking Oil,ITC,6,30,0,30,180,149.64,30.36,UPI,Sneha,Completed
ORD100045,2025-07-21 00:00:00,CUST1255,Meera Agrawal,Surat,Gujarat,Personal Care,Toothpaste,Patanjali,6,500,10,450,2700,1883.76,816.24,Debit Card,Vikas,Completed
ORD100046,2026-02-02 00:00:00,CUST1249,Rohan Sharma,Pune,Maharashtra,Home Care,Toilet Cleaner,Dabur,6,40,2,39.2,235.2,189.9,45.3,Credit Card,Pooja,Completed
ORD100047,2026-03-06 00:00:00,CUST1069,Vivaan Singh,Bhopal,Madhya Pradesh,Home Care,Dishwash,Tata,5,60,2,58.8,294,254.4,39.6,UPI,Vikas,Completed
ORD100048,2026-03-26 00:00:00,CUST1184,Neha Verma,Burhanpur,Madhya Pradesh,Home Care,Detergent,Nestle,7,120,15,102,714,542.71,171.29,Net Banking,Rohan,Completed
ORD100049,2025-04-22 00:00:00,CUST1001,Rahul Mehta,Vadodara,Gujarat,Snacks,Namkeen,HUL,3,80,10,72,216,161.79,54.21,UPI,Sneha,Completed
ORD100050,2026-03-16 00:00:00,CUST1107,Meera Sharma,Nashik,Maharashtra,Personal Care,Hair Oil,Nestle,2,200,15,170,340,273.9,66.1,UPI,Amit,Completed
ORD100051,2026-03-31 00:00:00,CUST1154,Sneha Khan,Burhanpur,Madhya Pradesh,Snacks,Cookies,P&G,6,250,8,230,1380,1040.22,339.78,Cash,Rohan,Completed
ORD100052,2025-07-28 00:00:00,CUST1028,Priya Agrawal,Kota,Rajasthan,Home Care,Toilet Cleaner,Dabur,2,100,5,95,190,144.3,45.7,UPI,Sneha,Completed
ORD100053,2025-07-20 00:00:00,CUST1228,Meera Singh,Khandwa,Madhya Pradesh,Grocery,Basmati Rice,ITC,1,60,2,58.8,58.8,49.26,9.54,UPI,Amit,Completed
ORD100054,2025-11-15 00:00:00,CUST1289,Rahul Singh,Nashik,Maharashtra,Grocery,Toor Dal,Parle,4,250,2,245,980,714.28,265.72,UPI,Sneha,Completed
ORD100055,2025-11-15 00:00:00,CUST1036,Vikas Singh,Khandwa,Madhya Pradesh,Baby Care,Baby Powder,P&G,7,200,15,170,1190,821.52,368.48,UPI,Pooja,Completed
ORD100056,2025-04-26 00:00:00,CUST1173,Kavya Joshi,Udaipur,Rajasthan,Baby Care,Baby Lotion,P&G,6,50,12,44,264,228.6,35.4,Cash,Sneha,Completed
ORD100057,2026-02-27 00:00:00,CUST1259,Aarav Singh,Ahmedabad,Gujarat,Beverages,Tea,Patanjali,2,100,10,90,0,140.62,0,UPI,Neha,Returned
ORD100058,2025-12-21 00:00:00,CUST1038,Amit Verma,Nashik,Maharashtra,Beverages,Coffee,P&G,2,60,0,60,120,84.94,35.06,UPI,Amit,Completed
ORD100059,2026-01-21 00:00:00,CUST1060,Pooja Khan,Kota,Rajasthan,Baby Care,Baby Soap,P&G,3,200,2,196,588,421.14,166.86,Credit Card,Vikas,Completed
ORD100060,2025-06-28 00:00:00,CUST1237,Priya Mehta,Jabalpur,Madhya Pradesh,Home Care,Glass Cleaner,Tata,5,50,5,47.5,0,191.6,0,Debit Card,Sneha,Cancelled
ORD100061,2026-02-03 00:00:00,CUST1104,Vikas Verma,Jaipur,Rajasthan,Baby Care,Baby Lotion,Britannia,7,30,0,30,210,157.71,52.29,UPI,Sneha,Completed
ORD100062,2025-09-04 00:00:00,CUST1038,Neha Sharma,Udaipur,Rajasthan,Home Care,Floor Cleaner,ITC,7,30,8,27.6,193.2,160.02,33.18,Debit Card,Rohan,Completed
ORD100063,2026-01-28 00:00:00,CUST1228,Pooja Khan,Vadodara,Gujarat,Beverages,Coffee,Tata,3,250,0,250,750,525.45,224.55,UPI,Vikas,Completed
ORD100064,2026-01-08 00:00:00,CUST1069,Arjun Jain,Nagpur,Maharashtra,Beverages,Green Tea,Dabur,3,50,5,47.5,142.5,113.01,29.49,UPI,Sneha,Completed
ORD100065,2025-09-18 00:00:00,CUST1133,Vikas Joshi,Pune,Maharashtra,Personal Care,Soap,P&G,6,40,0,40,240,175.5,64.5,Debit Card,Neha,Completed
ORD100066,2026-01-27 00:00:00,CUST1101,Rahul Jain,Surat,Gujarat,Personal Care,Face Wash,Parle,3,150,0,150,450,389.31,60.69,Credit Card,Sneha,Completed
ORD100067,2026-02-07 00:00:00,CUST1117,Priya Mehta,Ahmedabad,Gujarat,Baby Care,Baby Powder,P&G,7,80,15,68,476,328.86,147.14,Cash,Pooja,Completed
ORD100068,2026-03-30 00:00:00,CUST1251,Aditya Singh,Pune,Maharashtra,Baby Care,Baby Shampoo,Britannia,2,300,2,294,588,507.86,80.14,Cash,Pooja,Completed
ORD100069,2025-06-23 00:00:00,CUST1177,Arjun Singh,Mumbai,Maharashtra,Grocery,Basmati Rice,Parle,2,500,2,490,980,796.46,183.54,Net Banking,Vikas,Completed
ORD100070,2025-04-19 00:00:00,CUST1018,Aarav Verma,Indore,Madhya Pradesh,Snacks,Chips,P&G,3,30,10,27,81,61.2,19.8,UPI,Neha,Completed
ORD100071,2025-12-22 00:00:00,CUST1162,Kavya Sharma,Nagpur,Maharashtra,Personal Care,Soap,ITC,1,150,10,135,135,93.84,41.16,Cash,Pooja,Completed
ORD100072,2025-05-24 00:00:00,CUST1249,Meera Joshi,Surat,Gujarat,Snacks,Biscuits,Nestle,7,50,15,42.5,297.5,242.27,55.23,Cash,Amit,Completed
ORD100073,2025-09-12 00:00:00,CUST1182,Rahul Agrawal,Mumbai,Maharashtra,Personal Care,Soap,P&G,6,150,12,132,792,670.08,121.92,Net Banking,Neha,Completed
ORD100074,2025-04-11 00:00:00,CUST1234,Meera Patel,Ujjain,Madhya Pradesh,Home Care,Glass Cleaner,HUL,4,500,2,490,1960,1682.72,277.28,UPI,Pooja,Completed
ORD100075,2026-01-05 00:00:00,CUST1081,Priya Khan,Ahmedabad,Gujarat,Baby Care,Baby Lotion,Dabur,5,500,5,475,2375,2065.5,309.5,Net Banking,Amit,Completed
ORD100076,2025-04-04 00:00:00,CUST1154,Priya Patel,Nagpur,Maharashtra,Baby Care,Baby Lotion,P&G,2,200,15,170,340,246.02,93.98,UPI,Rohan,Completed
ORD100077,2025-06-15 00:00:00,CUST1087,Rahul Jain,Ahmedabad,Gujarat,Personal Care,Toothpaste,Nestle,6,40,0,40,240,182.64,57.36,Cash,Rohan,Completed
ORD100078,2025-10-07 00:00:00,CUST1122,Sneha Patel,Kota,Rajasthan,Home Care,Floor Cleaner,Nestle,5,120,2,117.6,588,507.35,80.65,Cash,Rohan,Completed
ORD100079,2026-01-20 00:00:00,CUST1232,Aditya Singh,Ujjain,Madhya Pradesh,Beverages,Fruit Juice,Tata,3,150,5,142.5,427.5,321.12,106.38,UPI,Sneha,Completed
ORD100080,2026-03-31 00:00:00,CUST1201,Priya Patel,Indore,Madhya Pradesh,Personal Care,Toothpaste,ITC,3,50,8,46,138,95.25,42.75,Cash,Amit,Completed
ORD100081,2025-07-17 00:00:00,CUST1172,Aditya Singh,Nagpur,Maharashtra,Grocery,Toor Dal,P&G,2,200,15,170,340,236.36,103.64,UPI,Rohan,Completed
ORD100082,2025-06-19 00:00:00,CUST1216,Aditya Khan,Burhanpur,Madhya Pradesh,Home Care,Dishwash,Patanjali,2,200,15,170,340,266.64,73.36,UPI,Amit,Completed
ORD100083,2025-04-26 00:00:00,CUST1047,Priya Agrawal,Vadodara,Gujarat,Baby Care,Baby Lotion,Dabur,1,500,15,425,425,347.92,77.08,Net Banking,Neha,Completed
ORD100084,2025-11-09 00:00:00,CUST1103,Aarav Khan,Nashik,Maharashtra,Baby Care,Baby Soap,Britannia,1,50,2,49,49,37.45,11.55,UPI,Pooja,Completed
ORD100085,2025-04-04 00:00:00,CUST1210,Aarav Jain,Pune,Maharashtra,Snacks,Chips,P&G,2,120,15,102,204,141.38,62.62,Net Banking,Neha,Completed
ORD100086,2025-04-29 00:00:00,CUST1245,Kavya Mehta,Bhopal,Madhya Pradesh,Personal Care,Soap,Britannia,5,40,5,38,190,131.85,58.15,UPI,Pooja,Completed
ORD100087,2025-08-20 00:00:00,CUST1158,Vivaan Gupta,Kota,Rajasthan,Baby Care,Baby Lotion,Britannia,4,80,0,80,320,232.88,87.12,Debit Card,Vikas,Completed
ORD100088,2025-05-31 00:00:00,CUST1198,Amit Khan,Indore,Madhya Pradesh,Snacks,Biscuits,Patanjali,1,150,8,138,0,99.86,0,Net Banking,Rohan,Returned
ORD100089,2025-11-29 00:00:00,CUST1107,Vivaan Mehta,Kota,Rajasthan,Grocery,Sugar,ITC,3,150,8,138,414,350.88,63.12,UPI,Amit,Completed
ORD100090,2025-11-27 00:00:00,CUST1061,Ananya Jain,Kota,Rajasthan,Snacks,Dry Fruits,Parle,7,120,0,120,840,658.28,181.72,UPI,Neha,Completed
ORD100091,2025-12-23 00:00:00,CUST1105,Vikas Verma,Surat,Gujarat,Home Care,Glass Cleaner,P&G,5,200,0,200,0,859,0,UPI,Vikas,Cancelled
ORD100092,2025-08-02 00:00:00,CUST1038,Vikas Joshi,Jaipur,Rajasthan,Personal Care,Toothpaste,Nestle,7,150,0,150,1050,829.71,220.29,Cash,Neha,Completed
ORD100093,2026-03-15 00:00:00,CUST1115,Priya Verma,Khandwa,Madhya Pradesh,Snacks,Cookies,Tata,5,30,2,29.4,147,114.5,32.5,UPI,Neha,Completed
ORD100094,2025-09-16 00:00:00,CUST1269,Ananya Mehta,Nagpur,Maharashtra,Snacks,Biscuits,Parle,3,150,8,138,0,351.96,0,Net Banking,Pooja,Cancelled
ORD100095,2025-09-05 00:00:00,CUST1039,Meera Patel,Nashik,Maharashtra,Beverages,Soft Drink,Nestle,3,120,2,117.6,352.8,249,103.8,Credit Card,Sneha,Completed
ORD100096,2026-03-31 00:00:00,CUST1163,Rohan Verma,Surat,Gujarat,Personal Care,Hair Oil,Patanjali,1,30,15,25.5,25.5,19.26,6.24,Debit Card,Neha,Completed
ORD100097,2026-02-18 00:00:00,CUST1219,Aarav Singh,Nashik,Maharashtra,Beverages,Green Tea,Tata,5,100,8,92,460,328.8,131.2,Debit Card,Sneha,Completed
ORD100098,2025-04-07 00:00:00,CUST1029,Ananya Sharma,Bhopal,Madhya Pradesh,Home Care,Floor Cleaner,Dabur,6,500,8,460,2760,2234.28,525.72,UPI,Rohan,Completed
ORD100099,2026-01-10 00:00:00,CUST1157,Ananya Gupta,Bhopal,Madhya Pradesh,Personal Care,Shampoo,ITC,1,50,10,45,45,38.29,6.71,Credit Card,Sneha,Completed
ORD100100,2026-03-23 00:00:00,CUST1084,Rohan Verma,Burhanpur,Madhya Pradesh,Home Care,Detergent,Patanjali,6,500,8,460,0,2280.48,0,UPI,Rohan,Cancelled
ORD100101,2025-04-27 00:00:00,CUST1072,Kavya Mehta,Bhopal,Madhya Pradesh,Beverages,Coffee,HUL,1,200,8,184,184,145.83,38.17,Net Banking,Vikas,Completed
ORD100102,2026-02-10 00:00:00,CUST1046,Meera Mehta,Burhanpur,Madhya Pradesh,Baby Care,Baby Shampoo,ITC,7,50,10,45,315,222.46,92.54,Cash,Amit,Completed
ORD100103,2026-03-10 00:00:00,CUST1072,Ananya Sharma,Mumbai,Maharashtra,Beverages,Tea,Parle,1,500,15,425,425,344.38,80.62,Cash,Neha,Completed
ORD100104,2025-09-26 00:00:00,CUST1088,Neha Sharma,Vadodara,Gujarat,Baby Care,Baby Powder,Nestle,1,500,12,440,440,379.09,60.91,Cash,Sneha,Completed
ORD100105,2026-01-14 00:00:00,CUST1233,Pooja Sharma,Jabalpur,Madhya Pradesh,Baby Care,Diapers,ITC,1,250,2,245,245,182.6,62.4,Credit Card,Neha,Completed
ORD100106,2026-02-11 00:00:00,CUST1123,Rohan Mehta,Nashik,Maharashtra,Baby Care,Baby Shampoo,Dabur,7,40,2,39.2,274.4,195.79,78.61,Net Banking,Amit,Completed
ORD100107,2025-04-03 00:00:00,CUST1127,Neha Jain,Vadodara,Gujarat,Beverages,Green Tea,Britannia,3,60,8,55.2,165.6,132.39,33.21,UPI,Neha,Completed
ORD100108,2025-11-07 00:00:00,CUST1119,Rahul Agrawal,Khandwa,Madhya Pradesh,Snacks,Biscuits,HUL,2,50,15,42.5,85,65.8,19.2,Cash,Pooja,Completed
ORD100109,2025-07-02 00:00:00,CUST1207,Aarav Agrawal,Nashik,Maharashtra,Home Care,Glass Cleaner,P&G,1,300,5,285,285,198.45,86.55,UPI,Sneha,Completed
ORD100110,2025-05-20 00:00:00,CUST1177,Aditya Mehta,Kota,Rajasthan,Snacks,Cookies,Tata,4,500,8,460,1840,1533.72,306.28,UPI,Vikas,Completed
ORD100111,2025-08-03 00:00:00,CUST1268,Aditya Patel,Mumbai,Maharashtra,Personal Care,Shampoo,ITC,6,120,2,117.6,705.6,619.8,85.8,UPI,Amit,Completed
ORD100112,2026-02-10 00:00:00,CUST1111,Sneha Khan,Khandwa,Madhya Pradesh,Baby Care,Baby Shampoo,Dabur,7,80,10,72,504,349.72,154.28,UPI,Pooja,Completed
ORD100113,2025-09-11 00:00:00,CUST1287,Ananya Jain,Nashik,Maharashtra,Grocery,Cooking Oil,Nestle,1,500,2,490,490,417.28,72.72,Cash,Sneha,Completed
ORD100114,2026-02-07 00:00:00,CUST1064,Rohan Gupta,Ujjain,Madhya Pradesh,Personal Care,Toothpaste,Nestle,1,80,8,73.6,0,58.7,0,UPI,Rohan,Returned
ORD100115,2025-07-17 00:00:00,CUST1251,Pooja Gupta,Ahmedabad,Gujarat,Beverages,Soft Drink,Patanjali,1,150,8,138,0,106.16,0,UPI,Neha,Cancelled
ORD100116,2025-09-08 00:00:00,CUST1179,Sneha Jain,Ujjain,Madhya Pradesh,Beverages,Coffee,Patanjali,7,50,12,44,308,220.5,87.5,UPI,Neha,Completed
ORD100117,2025-09-25 00:00:00,CUST1294,Arjun Agrawal,Udaipur,Rajasthan,Baby Care,Baby Shampoo,Nestle,2,200,15,170,340,262.12,77.88,Cash,Vikas,Completed
ORD100118,2026-03-24 00:00:00,CUST1005,Meera Singh,Bhopal,Madhya Pradesh,Personal Care,Toothpaste,Britannia,2,80,0,80,160,132.18,27.82,UPI,Amit,Completed
ORD100119,2025-06-15 00:00:00,CUST1289,Aarav Verma,Vadodara,Gujarat,Home Care,Floor Cleaner,Dabur,2,30,2,29.4,58.8,50.2,8.6,Net Banking,Sneha,Completed
ORD100120,2025-09-23 00:00:00,CUST1269,Neha Joshi,Nagpur,Maharashtra,Grocery,Wheat Flour,Dabur,2,100,15,85,170,148.82,21.18,UPI,Amit,Completed
ORD100121,2026-03-05 00:00:00,CUST1129,Vikas Singh,Bhopal,Madhya Pradesh,Snacks,Cookies,Parle,3,100,2,98,294,244.74,49.26,UPI,Vikas,Completed
ORD100122,2025-07-11 00:00:00,CUST1267,Aditya Khan,Khandwa,Madhya Pradesh,Personal Care,Hair Oil,HUL,4,200,0,200,800,582,218,Debit Card,Neha,Completed
ORD100123,2025-04-12 00:00:00,CUST1133,Vivaan Joshi,Ahmedabad,Gujarat,Home Care,Glass Cleaner,P&G,2,100,8,92,184,126.06,57.94,UPI,Pooja,Completed
ORD100124,2026-01-06 00:00:00,CUST1292,Ananya Verma,Mumbai,Maharashtra,Baby Care,Baby Shampoo,Tata,7,300,15,255,1785,1533.91,251.09,Cash,Vikas,Completed
ORD100125,2026-01-16 00:00:00,CUST1136,Priya Gupta,Pune,Maharashtra,Personal Care,Hair Oil,ITC,5,60,12,52.8,264,195.75,68.25,Debit Card,Neha,Completed
ORD100126,2026-02-06 00:00:00,CUST1241,Priya Jain,Khandwa,Madhya Pradesh,Personal Care,Face Wash,Britannia,7,500,2,490,3430,2881.06,548.94,Net Banking,Pooja,Completed
ORD100127,2025-07-27 00:00:00,CUST1277,Rohan Mehta,Pune,Maharashtra,Baby Care,Baby Lotion,P&G,5,250,15,212.5,1062.5,924.65,137.85,Credit Card,Neha,Completed
ORD100128,2025-04-19 00:00:00,CUST1100,Kavya Agrawal,Indore,Madhya Pradesh,Snacks,Namkeen,P&G,1,250,5,237.5,237.5,198.57,38.93,Debit Card,Neha,Completed
ORD100129,2025-08-27 00:00:00,CUST1150,Rahul Verma,Vadodara,Gujarat,Grocery,Wheat Flour,Tata,7,30,5,28.5,199.5,170.31,29.19,UPI,Rohan,Completed
ORD100130,2025-08-24 00:00:00,CUST1042,Rohan Agrawal,Jabalpur,Madhya Pradesh,Snacks,Dry Fruits,Nestle,6,200,2,196,1176,864.24,311.76,Debit Card,Rohan,Completed
ORD100131,2026-03-19 00:00:00,CUST1164,Aditya Mehta,Kota,Rajasthan,Home Care,Toilet Cleaner,Parle,2,120,10,108,216,150.32,65.68,UPI,Rohan,Completed
ORD100132,2025-11-16 00:00:00,CUST1200,Vivaan Verma,Khandwa,Madhya Pradesh,Snacks,Biscuits,Dabur,4,80,8,73.6,294.4,213.96,80.44,UPI,Vikas,Completed
ORD100133,2026-01-11 00:00:00,CUST1116,Vikas Singh,Nashik,Maharashtra,Baby Care,Baby Shampoo,Britannia,4,40,12,35.2,140.8,111.44,29.36,UPI,Pooja,Completed
ORD100134,2025-04-03 00:00:00,CUST1144,Sneha Agrawal,Jaipur,Rajasthan,Grocery,Wheat Flour,Nestle,7,500,0,500,0,2590.63,0,UPI,Sneha,Returned
ORD100135,2025-12-28 00:00:00,CUST1038,Arjun Patel,Jaipur,Rajasthan,Grocery,Toor Dal,ITC,6,100,2,98,0,492.48,0,Cash,Pooja,Cancelled
ORD100136,2026-02-17 00:00:00,CUST1180,Sneha Agrawal,Bhopal,Madhya Pradesh,Snacks,Namkeen,Nestle,5,40,5,38,190,138.3,51.7,Net Banking,Neha,Completed
ORD100137,2025-05-12 00:00:00,CUST1166,Vivaan Verma,Pune,Maharashtra,Baby Care,Baby Powder,Parle,4,80,8,73.6,0,212.48,0,Debit Card,Neha,Returned
ORD100138,2025-10-23 00:00:00,CUST1276,Vivaan Jain,Kota,Rajasthan,Home Care,Toilet Cleaner,Nestle,7,80,5,76,532,380.24,151.76,Credit Card,Amit,Completed
ORD100139,2025-08-19 00:00:00,CUST1117,Vivaan Khan,Nagpur,Maharashtra,Beverages,Tea,Parle,6,60,5,57,342,297.72,44.28,UPI,Pooja,Completed
ORD100140,2025-12-10 00:00:00,CUST1130,Kavya Agrawal,Khandwa,Madhya Pradesh,Snacks,Cookies,ITC,2,500,15,425,850,686.94,163.06,Cash,Rohan,Completed
ORD100141,2025-06-22 00:00:00,CUST1099,Rahul Mehta,Nashik,Maharashtra,Personal Care,Face Wash,Dabur,6,300,2,294,1764,1219.92,544.08,Credit Card,Sneha,Completed
ORD100142,2025-11-07 00:00:00,CUST1124,Rohan Agrawal,Khandwa,Madhya Pradesh,Grocery,Sugar,ITC,7,150,0,150,1050,762.86,287.14,Debit Card,Vikas,Completed
ORD100143,2025-06-25 00:00:00,CUST1133,Sneha Agrawal,Kota,Rajasthan,Snacks,Chips,Britannia,3,500,12,440,1320,1116.06,203.94,UPI,Rohan,Completed
ORD100144,2025-11-28 00:00:00,CUST1213,Rahul Patel,Nashik,Maharashtra,Snacks,Namkeen,Britannia,2,150,15,127.5,255,204.96,50.04,Cash,Pooja,Completed
